序号,代码,名称,最新价(元) 10:29,涨跌幅(%) 10:29,证券类型,涨跌幅(%) 2026.07.08,成交额(元) 2026.07.08,成交额(元) 10:29,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:29,最高价(元) 10:29,最低价(元) 10:29,换手率(%) 10:29,量比 10:29,成交量(股) 10:29,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
1,920189,康美特,31.65,1.34,A股,400.61,15.58亿,3.91亿,电子-半导体-半导体材料,康美特,电子-电子化学品Ⅱ-电子化学品Ⅲ,LED概念、新材料、融资融券、半导体概念、次新股、小米概念、MiniLED,0.420,34.55,30.93,14.08,1.62,1194.79万,51.79,5.9398,44.76亿,26.86亿
2,920857,泓禧科技,17.85,-7.51,A股,29.96,1.10亿,4841.24万,电子-消费电子-消费电子零部件及组装,泓禧科技,电子-消费电子-消费电子零部件及组装,消费电子概念、安防概念、融资融券、西部大开发、AIPC、机器人概念、反转股、小米概念、最近多板,-1.450,18.98,17.00,3.68,3.04,272.08万,-18.02,3.8755,13.21亿,13.21亿
3,300369,绿盟科技,6.72,0.45,A股,20.00,5.40亿,3.15亿,计算机-软件开发-横向通用软件,绿盟科技,计算机-软件开发-横向通用软件,区块链、东数西算、车联网、工业互联、MLOps概念、AI智能体、华为概念、最近多板、腾讯概念、信创、京津冀一体化、AI应用、DeepSeek概念、独角兽、人工智能、国产操作系统、富时罗素、AI语料、阿里概念、华为鲲鹏、云计算、数据要素、数据安全、智慧政务、安防概念、融资融券、数字水印、深股通、SaaS、网络安全、数据中心、国产软件、数据确权、创业板综、华为欧拉,0.030,6.90,6.51,5.86,3.72,4735.97万,-13.87,2.1262,54.47亿,54.28亿
4,300454,深信服,113.87,6.14,A股,20.00,26.53亿,14.85亿,计算机-软件开发-横向通用软件,深信服,计算机-软件开发-横向通用软件,中盘股、东数西算、数字经济、深圳特区、深成500、AI智能体、最近多板、信创、VPN、算力租赁、AI应用、DeepSeek概念、人工智能、中国AI 50、富时罗素、2025年报预增、物联网、MSCI中国、机器人概念、云计算、破增发价股、数据安全、智慧政务、融资融券、深股通、算力概念、SaaS、中盘成长、中证500、ChatGPT概念、网络安全、云办公、数据中心、英伟达概念、创业板综、股权激励,6.590,115.38,106.23,4.63,3.62,1334.49万,-190.48,4.5413,491.46亿,327.98亿
5,301321,翰博高新,52.14,-1.12,A股,20.00,6.31亿,5.32亿,电子-光学光电子-面板,翰博高新,电子-光学光电子-面板,融资融券、AIPC、近期新高、虚拟现实、新能源车、华为概念、小米概念、最近多板、趋势股、消费电子概念、历史新高 、MicroLED、百日新高 、创业板综、OLED、汽车电子、MiniLED,-0.590,56.66,51.74,6.65,3.69,981.05万,527.04,9.9625,97.21亿,76.97亿
6,301202,朗威股份,38.36,2.48,A股,19.99,1.70亿,1.59亿,通信-通信设备-其他通信设备,朗威股份,通信-通信设备-其他通信设备,数据中心液冷、东数西算、融资融券、液冷概念、深股通、算力概念、数据中心、最近多板、腾讯概念、换电概念、光纤概念、创业板综、阿里概念、机器人概念,0.930,38.68,36.00,5.29,3.89,421.52万,74.01,4.4085,52.38亿,30.57亿
7,301251,威尔高,54.97,-5.24,A股,19.99,13.54亿,5.27亿,电子-元件-印制电路板,威尔高,电子-元件-印制电路板,专精特新、融资融券、5G概念、深股通、光通信模块、工业互联、新型工业化、PCB、华为概念、数据中心、最近多板、昨日高换手、一带一路、CPO概念、创业板综、富士康概念、机器人概念、汽车电子、MiniLED,-3.040,57.79,53.77,12.49,2.93,944.34万,380.45,6.6850,103.48亿,41.48亿
8,300017,网宿科技,15.71,2.48,A股,19.97,40.51亿,27.13亿,计算机-IT服务Ⅱ-IT服务Ⅲ,网宿科技,计算机-IT服务Ⅱ-IT服务Ⅲ,中盘股、多模态AI、东数西算、IPv6、数字经济、贬值受益、元宇宙概念、深成500、AI智能体、华为概念、最近多板、信创、算力租赁、边缘计算、在线教育、DeepSeek概念、阿兹海默、人工智能、富时罗素、网红经济、MSCI中国、华为鲲鹏、云计算、题材股、数据安全、融资融券、液冷概念、深股通、算力概念、超清视频、IaaS、AIGC概念、中证500、网络安全、华为系算力、数据中心、OpenClaw算力、互联网服务、电商概念、一带一路、虚拟数字人、创业板综、股权激励、长江三角、大数据,0.380,16.05,14.90,7.47,3.96,1.75亿,81.18,3.8710,392.07亿,367.84亿
9,920090,*ST同辉,3.31,0.30,A股,19.61,3828.69万,944.33万,计算机-计算机设备-其他计算机设备,*ST同辉,计算机-计算机设备-其他计算机设备,国产芯片、多模态AI、职业教育、融资融券、数字经济、虚拟现实、元宇宙概念、AI智能体、数据中心、信创、互联网金融、京津冀一体化、DeepSeek概念、在线教育、人工智能、混合现实、大数据、超跌股,0.010,3.35,3.15,1.97,1.39,293.07万,-26.71,17.1864,6.60亿,4.93亿
10,300588,熙菱信息,24.07,4.24,A股,17.19,5.91亿,1.89亿,计算机-计算机设备-安防设备,熙菱信息,计算机-计算机设备-安防设备,专精特新、东数西算、西部大开发、数字经济、新疆振兴、华为概念、信创、AI应用、DeepSeek概念、独角兽、人工智能、人脸识别、华为鲲鹏、数据要素、智慧政务、数据安全、安防概念、智慧城市、网络安全、国产软件、机器视觉、创业板综、时空大数据、股权激励、大数据,0.980,24.54,21.91,4.60,3.00,813.20万,-53.38,17.9900,46.09亿,42.56亿
11,688508,芯朋微,98.92,-2.06,A股,16.80,19.15亿,5.79亿,电子-半导体-模拟芯片设计,芯朋微,电子-半导体-模拟芯片设计,国产芯片、LED概念、专精特新、高压快充、国家大基金持股、新能源车、第三代半导体、氮化镓、小米概念、储能概念、中芯概念、DeepSeek概念、荣耀概念、人工智能、2025年报预增、物联网、机器人概念、电网概念、融资融券、充电桩、无人机、沪股通、半导体概念、碳化硅、数据中心、人形机器人、智能电网、汽车芯片,-2.080,103.48,96.50,4.42,2.16,585.48万,237.94,4.8626,130.62亿,130.62亿
12,920207,众诚科技,25.39,3.38,A股,16.48,2.25亿,8020.76万,计算机-软件开发-垂直应用软件,众诚科技,计算机-软件开发-垂直应用软件,国产芯片、专精特新、多模态AI、职业教育、东数西算、鸿蒙概念、乡村振兴、数字经济、元宇宙概念、数字乡村、AI智能体、华为概念、信创、华为昇腾、AI应用、DeepSeek概念、在线教育、人工智能、互联医疗、机器人概念、华为鲲鹏、数据要素、云计算、智慧政务、数据安全、空间计算、数字孪生、融资融券、2025年报扭亏、虚拟现实、AIGC概念、智慧城市、网络安全、数据中心、人形机器人、虚拟数字人、智能医疗、大数据,0.830,25.80,23.66,5.72,2.65,322.24万,-180.04,8.3351,23.41亿,14.30亿
13,688691,灿芯股份,115.36,-0.59,A股,15.87,29.68亿,7.34亿,电子-半导体-集成电路制造,灿芯股份,电子-半导体-集成电路制造,国产芯片、专精特新、融资融券、5G概念、沪股通、半导体概念、存储芯片、先进封装、小米概念、小盘股、昨日高换手、卫星导航、中芯概念、MCU芯片、汽车芯片、上海自贸,-0.690,120.70,112.80,8.67,1.88,632.25万,-121.31,11.4749,138.43亿,84.17亿
14,920190,雷神科技,26.70,1.64,A股,15.01,3.57亿,1.62亿,计算机-计算机设备-其他计算机设备,雷神科技,计算机-计算机设备-其他计算机设备,多模态AI、融资融券、乡村振兴、AIPC、AI眼镜、AIGC概念、AI智能体、消费电子概念、电子竞技、跨境电商、智能穿戴、信创、Lazada电商、星闪概念、DeepSeek概念、人工智能、谷子经济、WiFi6、Shopee电商、无线耳机,0.430,27.68,24.58,6.24,2.97,620.76万,45.38,3.1136,26.61亿,26.46亿
15,920699,DR海达尔,93.01,-6.06,A股,14.42,2.50亿,9759.98万,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,海达尔,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,趋势股、融资融券、东数西算、历史新高 、比亚迪概念、百日新高 、近期新高、华为概念,-6.000,101.99,92.14,3.46,2.01,101.07万,147.14,17.7743,59.41亿,27.18亿
16,688361,中科飞测,452.60,1.37,A股,14.41,56.33亿,24.64亿,电子-半导体-半导体设备,中科飞测,电子-半导体-半导体设备,国产芯片、专精特新、中盘股、融资融券、2025年报扭亏、国家大基金持股、中盘成长、上证380、中证500、沪股通、半导体概念、存储芯片、先进封装、趋势股、中芯概念、高带宽内存、科技风格、先进封装设备、MSCI中国,6.100,454.00,422.00,1.58,1.65,553.42万,-582.99,31.2440,1584.84亿,1584.84亿
17,300287,飞利信,3.89,3.18,A股,13.91,5.66亿,1.93亿,计算机-IT服务Ⅱ-IT服务Ⅲ,飞利信,计算机-IT服务Ⅱ-IT服务Ⅲ,国产芯片、鸿蒙概念、乡村振兴、数字经济、食品安全、AI智能体、AI应用、边缘计算、富时罗素、物联网、机器人概念、华为鲲鹏、数据要素、破增发价股、军工、智慧政务、融资融券、低空经济、超清视频、AIGC概念、半导体概念、网络安全、数据中心、Web3.0、卫星导航、光纤概念、智能电网、大数据、北斗导航、5G概念、东数西算、元宇宙概念、华为概念、通信技术、信创、京津冀一体化、算力租赁、DeepSeek概念、在线教育、CPO概念、人工智能、MCU芯片、电网概念、数字孪生、深股通、虚拟现实、智慧城市、互联网服务、虚拟数字人、创业板综、时空大数据,0.120,3.91,3.70,3.84,2.48,5063.42万,-48.81,5.6363,55.83亿,51.28亿
18,300821,东岳硅材,27.79,-8.37,A股,13.48,47.95亿,38.29亿,基础化工-化学制品-有机硅,东岳硅材,基础化工-化学制品-有机硅,题材股、融资融券、昨日高振幅、深股通、近期新高、燃料电池概念、硅橡胶、2026中报预增、硅能源、东方财富热股、小盘股、氢能源、电池技术、趋势股、新材料、2026一季报预增、百日新高 、有机硅概念、创业板综、富时罗素、有机硅单体,-2.540,30.49,27.70,11.03,3.13,1.32亿,42.97,6.5361,333.48亿,333.42亿
19,301520,万邦医药,42.70,2.64,A股,13.25,5.96亿,3.93亿,医药生物-医疗服务-医疗研发外包,万邦医药,医药生物-医疗服务-医疗研发外包,CRO、专精特新、创新医疗服务、融资融券、食品安全、破发股、2025年报预减、昨日高换手、仿制药一致性评价、DeepSeek概念、创业板综、减肥药、创新药,1.100,44.96,39.06,28.59,2.70,934.90万,-3799.36,2.6598,39.78亿,13.96亿
